Concurso,Dia,Mes,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Bola16,Bola17,Bola18,Bola19,Bola20
1881,6,7,18,0,2,21,22,25,27,29,45,46,55,60,64,66,70,74,79,89,93,95,96
1882,10,7,18,1,2,8,16,24,32,36,41,42,44,47,51,54,62,69,75,77,80,90,98
1883,13,7,18,1,8,13,18,26,31,37,38,39,42,47,49,52,53,57,63,67,70,73,83
1884,17,7,18,0,5,7,10,14,16,22,24,34,37,38,39,55,64,67,77,80,81,83,98
1885,20,7,18,2,4,5,11,19,25,27,28,30,38,39,41,57,61,66,72,74,78,79,85
1886,24,7,18,7,16,17,18,19,25,39,41,42,43,45,56,58,59,67,81,88,91,94,97
1887,27,7,18,5,7,13,14,16,28,32,33,40,43,54,56,57,64,67,68,70,74,85,87
1888,31,7,18,2,5,7,9,10,23,25,27,32,42,46,52,62,73,78,82,91,93,98,99
1889,3,8,18,9,13,14,18,29,34,44,46,47,51,52,55,58,67,77,79,81,82,83,93
1890,7,8,18,1,2,5,12,17,20,25,33,41,49,54,55,59,60,65,70,81,84,93,99
1891,10,8,18,2,6,7,9,15,23,28,44,46,57,58,59,65,68,75,79,81,91,97,98
1892,14,8,18,1,6,13,16,17,29,30,33,43,50,51,52,56,60,62,76,78,82,83,86
1893,17,8,18,4,13,15,17,20,26,29,30,43,49,53,57,58,60,71,74,80,83,89,95
1894,21,8,18,3,6,10,12,16,20,21,23,24,31,33,43,46,50,60,75,78,87,90,93
1895,24,8,18,6,7,9,15,17,23,26,31,47,59,61,62,65,77,79,82,83,86,87,94
1896,28,8,18,0,2,4,21,22,27,28,40,45,46,52,57,62,70,77,85,86,87,90,92
1897,31,8,18,0,4,7,11,19,21,37,38,54,56,59,63,68,69,72,73,76,79,81,99
1898,4,9,18,0,1,16,23,26,27,31,34,39,40,49,55,64,71,72,73,76,78,87,90
1899,8,9,18,0,12,16,18,36,37,39,43,53,55,57,61,63,71,75,77,89,93,96,97
1900,11,9,18,3,15,21,24,25,38,43,44,50,52,56,57,58,75,82,83,88,91,97,99
1901,14,9,18,5,6,15,16,19,22,25,30,31,41,44,50,61,64,66,76,86,88,89,96
1902,18,9,18,12,15,20,23,34,43,48,56,58,60,61,62,72,80,83,84,85,90,97,99
1903,21,9,18,1,3,5,15,16,18,21,22,25,28,40,41,64,71,74,75,79,88,90,97
1904,25,9,18,3,4,5,8,9,19,23,24,31,33,48,52,53,54,65,76,84,87,94,97
1905,28,9,18,2,8,13,15,19,25,28,29,30,49,52,53,59,66,68,71,76,89,91,99
1906,2,10,18,1,3,10,17,36,40,43,47,48,50,64,73,82,83,86,90,92,94,96,99
1907,5,10,18,2,9,26,31,36,39,47,49,52,54,55,56,57,60,61,63,70,77,79,89
1908,9,10,18,8,16,17,22,23,26,29,34,36,40,42,43,55,56,67,69,71,73,80,86
1909,13,10,18,4,7,10,18,20,21,27,28,33,36,42,49,51,53,54,69,73,81,84,94
1910,16,10,18,3,11,23,27,48,52,53,57,60,62,69,79,80,85,86,87,89,92,93,99
1911,19,10,18,0,2,4,8,14,18,28,33,37,40,42,45,56,62,67,75,77,79,80,83
1912,23,10,18,11,13,14,15,24,28,36,37,47,56,62,68,69,79,84,85,88,91,94,95
